,,Total Vote,C,T,M,Margin,Margin (%),,Clinton,Trump,McMullin,Other,Clinton,Trump,McMullin,Johnson,Stein,Castle,Fuente,Soltysik,LaRiva,Write-ins,Kennedy,Hoefling,Duncan,Moorehead,None,Vacek,Hedges,Kotlikoff,White,Keniston,Kopitke,Atwood,Jacob-Fambro,Lyttle,Kahn,Maldonado,Maturen,Scott,Silva,Smith,Copeland,Skewes,Giordani,0,,J,S,F,C,Johnson,Stein,Fuente,Castle,,,,CD,,ST,CTY,FIPS,,LSAD_TRANS,Blank/Under,Void/Over,,,,Total WI,Qualified Write-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autauga,AL,"24,973",2,1,0,"12,236",49.00%,,23.77%,72.77%,0.00%,3.46%,"5,936","18,172",,546,105,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,2.19%,0.42%,0.00%,0.00%,,Autauga,AL,2,,01,001,01001,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin,AL,"95,215",2,1,0,"54,425",57.16%,,19.39%,76.55%,0.00%,4.07%,"18,458","72,883",,"2,464",456,,,,,954,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,2.59%,0.48%,0.00%,0.00%,,Baldwin,AL,1,,01,003,01003,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,AL,"10,469",2,1,0,583,5.57%,,46.53%,52.10%,0.00%,1.38%,"4,871","5,454",,93,18,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,0.89%,0.17%,0.00%,0.00%,,Barbour,AL,2,,01,005,01005,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibb,AL,"8,819",2,1,0,"4,864",55.15%,,21.25%,76.40%,0.00%,2.35%,"1,874","6,738",,124,17,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.41%,0.19%,0.00%,0.00%,,Bibb,AL,6,,01,007,01007,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blount,AL,"25,588",2,1,0,"20,703",80.91%,,8.43%,89.33%,0.00%,2.24%,"2,156","22,859",,338,89,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.32%,0.35%,0.00%,0.00%,,Blount,AL,,,01,009,01009,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock,AL,"4,710",1,2,0,"2,390",50.74%,,74.95%,24.20%,0.00%,0.85%,"3,530","1,140",,22,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,0,0.47%,0.21%,0.00%,0.00%,,Bullock,AL,2,,01,011,01011,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,AL,"8,732",2,1,0,"1,175",13.46%,,42.67%,56.13%,0.00%,1.20%,"3,726","4,901",,65,13,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,0.74%,0.15%,0.00%,0.00%,,Butler,AL,2,,01,013,01013,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,AL,"47,864",2,1,0,"19,623",41.00%,,27.67%,68.66%,0.00%,3.67%,"13,242","32,865",,"1,116",262,,,,,379,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,2.33%,0.55%,0.00%,0.00%,,Calhoun,AL,3,,01,015,01015,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers,AL,"13,900",2,1,0,"2,059",14.81%,,41.61%,56.42%,0.00%,1.96%,"5,784","7,843",,168,44,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.21%,0.32%,0.00%,0.00%,,Chambers,AL,3,,01,017,01017,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee,AL,"10,733",2,1,0,"7,406",69.00%,,14.41%,83.42%,0.00%,2.17%,"1,547","8,953",,147,26,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.37%,0.24%,0.00%,0.00%,,Cherokee,AL,,,01,019,01019,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilton,AL,"18,369",2,1,0,"12,170",66.25%,,15.85%,82.10%,0.00%,2.05%,"2,911","15,081",,228,52,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.24%,0.28%,0.00%,0.00%,,Chilton,AL,6,,01,021,01021,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choctaw,AL,"7,292",2,1,0,997,13.67%,,42.64%,56.31%,0.00%,1.06%,"3,109","4,106",,52,6,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,0.71%,0.08%,0.00%,0.00%,,Choctaw,AL,7,,01,023,01023,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke,AL,"13,031",2,1,0,"1,391",10.67%,,44.12%,54.79%,0.00%,1.09%,"5,749","7,140",,99,17,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,0.76%,0.13%,0.00%,0.00%,,Clarke,AL,,,01,025,01025,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,AL,"6,624",2,1,0,"4,008",60.51%,,18.67%,79.18%,0.00%,2.14%,"1,237","5,245",,93,16,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.40%,0.24%,0.00%,0.00%,,Clay,AL,3,,01,027,01027,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleburne,AL,"6,593",2,1,0,"5,080",77.05%,,10.37%,87.43%,0.00%,2.20%,684,"5,764",,90,20,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.37%,0.30%,0.00%,0.00%,,Cleburne,AL,3,,01,029,01029,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,AL,"20,767",2,1,0,"11,654",56.12%,,20.33%,76.44%,0.00%,3.23%,"4,221","15,875",,396,104,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.91%,0.50%,0.00%,0.00%,,Coffee,AL,2,,01,031,01031,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colbert,AL,"24,915",2,1,0,"9,434",37.86%,,29.35%,67.21%,0.00%,3.44%,"7,312","16,746",,511,107,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,2.05%,0.43%,0.00%,0.00%,,Colbert,AL,4,,01,033,01033,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conecuh,AL,"6,585",2,1,0,340,5.16%,,46.77%,51.94%,0.00%,1.29%,"3,080","3,420",,51,10,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,0.77%,0.15%,0.00%,0.00%,,Conecuh,AL,2,,01,035,01035,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coosa,AL,"5,252",2,1,0,"1,599",30.45%,,33.93%,64.38%,0.00%,1.69%,"1,782","3,381",,53,14,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.01%,0.27%,0.00%,0.00%,,Coosa,AL,6,,01,037,01037,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington,AL,"15,940",2,1,0,"10,880",68.26%,,14.97%,83.23%,0.00%,1.79%,"2,387","13,267",,183,36,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.15%,0.23%,0.00%,0.00%,,Covington,AL,2,,01,039,01039,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crenshaw,AL,"6,267",2,1,0,"2,849",45.46%,,26.55%,72.01%,0.00%,1.44%,"1,664","4,513",,65,14,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,0,1.04%,0.22%,0.00%,0.00%,,Crenshaw,AL,2,,01,041,01041,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cullman,AL,"37,873",2,1,0,"29,191",77.08%,,10.03%,87.10%,0.00%,2.87%,"3,798","32,989",,687,134,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.81%,0.35%,0.00%,0.00%,,Cullman,AL,4,,01,043,01043,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dale,AL,"18,749",2,1,0,"9,395",50.11%,,23.54%,73.65%,0.00%,2.82%,"4,413","13,808",,350,62,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.87%,0.33%,0.00%,0.00%,,Dale,AL,2,,01,045,01045,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,AL,"18,792",1,2,0,"7,047",37.50%,,68.31%,30.81%,0.00%,0.89%,"12,836","5,789",,96,24,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,0.51%,0.13%,0.00%,0.00%,,Dallas,AL,7,,01,047,01047,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeKalb,AL,"25,826",2,1,0,"17,783",68.86%,,14.02%,82.88%,0.00%,3.09%,"3,622","21,405",,458,152,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.77%,0.59%,0.00%,0.00%,,DeKalb,AL,4,,01,049,01049,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmore,AL,"37,260",2,1,0,"19,191",51.51%,,22.66%,74.17%,0.00%,3.17%,"8,443","27,634",,738,112,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,1.98%,0.30%,0.00%,0.00%,,Elmore,AL,2,,01,051,01051,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
