"County","State","FIPS","Total Vote","Clinton","Trump"
"Autauga","AL","01001",24973,5936,18172
"Baldwin","AL","01003",95215,18458,72883
"Barbour","AL","01005",10469,4871,5454
"Bibb","AL","01007",8819,1874,6738
"Blount","AL","01009",25588,2156,22859
"Bullock","AL","01011",4710,3530,1140
"Butler","AL","01013",8732,3726,4901
"Calhoun","AL","01015",47864,13242,32865
"Chambers","AL","01017",13900,5784,7843
"Cherokee","AL","01019",10733,1547,8953
"Chilton","AL","01021",18369,2911,15081
"Choctaw","AL","01023",7292,3109,4106
"Clarke","AL","01025",13031,5749,7140
"Clay","AL","01027",6624,1237,5245
"Cleburne","AL","01029",6593,684,5764
"Coffee","AL","01031",20767,4221,15875
"Colbert","AL","01033",24915,7312,16746
"Conecuh","AL","01035",6585,3080,3420
"Coosa","AL","01037",5252,1782,3381
"Covington","AL","01039",15940,2387,13267
"Crenshaw","AL","01041",6267,1664,4513
"Cullman","AL","01043",37873,3798,32989
"Dale","AL","01045",18749,4413,13808
"Dallas","AL","01047",18792,12836,5789
"DeKalb","AL","01049",25826,3622,21405
"Elmore","AL","01051",37260,8443,27634
"Escambia","AL","01053",14845,4605,9935
"Etowah","AL","01055",44164,10442,32353
"Fayette","AL","01057",8249,1362,6712
"Franklin","AL","01059",12040,2197,9466
"Geneva","AL","01061",11758,1525,9994
"Greene","AL","01063",4880,4013,838
"Hale","AL","01065",8040,4775,3173
"Henry","AL","01067",8072,2292,5632
"Houston","AL","01069",42639,10664,30728
"Jackson","AL","01071",20984,3673,16672
"Jefferson","AL","01073",304191,156873,134768
"Lamar","AL","01075",6966,1036,5823
"Lauderdale","AL","01077",39525,9952,27899
"Lawrence","AL","01079",14829,3627,10833
"Lee","AL","01081",59191,21230,34617
"Limestone","AL","01083",40294,9468,29067
"Lowndes","AL","01085",6684,4883,1751
"Macon","AL","01087",9140,7566,1431
"Madison","AL","01089",163389,62822,89520
"Marengo","AL","01091",10994,5615,5233
"Marion","AL","01093",12984,1432,11274
"Marshall","AL","01095",35316,4917,29233
"Mobile","AL","01097",172737,72186,95116
"Monroe","AL","01099",10271,4332,5795
"Montgomery","AL","01101",95878,58916,34003
"Morgan","AL","01103",50644,11254,37486
"Perry","AL","01105",5278,3824,1407
"Pickens","AL","01107",9542,3972,5456
"Pike","AL","01109",13168,5056,7693
"Randolph","AL","01111",10187,2291,7705
"Russell","AL","01113",19256,9579,9210
"St. Clair","AL","01115",38400,5589,31651
"Shelby","AL","01117",101254,22977,73020
"Sumter","AL","01119",6411,4746,1581
"Talladega","AL","01121",33407,12121,20614
"Tallapoosa","AL","01123",19486,5519,13594
"Tuscaloosa","AL","01125",82700,31762,47723
"Walker","AL","01127",29472,4497,24266
"Washington","AL","01129",8533,2374,6042
"Wilcox","AL","01131",6123,4339,1742
"Winston","AL","01133",10313,872,9228
"Appling","GA","13001",7012,1434,5494
"Atkinson","GA","13003",2610,697,1878
"Bacon","GA","13005",4020,608,3364
"Baker","GA","13007",1440,650,775
"Baldwin","GA","13009",16116,7970,7697
"Banks","GA","13011",6975,684,6134
"Barrow","GA","13013",29061,6580,21108
"Bartow","GA","13015",39550,8212,29911
"Ben Hill","GA","13017",5936,2101,3739
"Berrien","GA","13019",6590,1047,5422
"Bibb","GA","13021",62596,36787,24043
"Bleckley","GA","13023",4974,1101,3719
"Brantley","GA","13025",6301,619,5567
"Brooks","GA","13027",6336,2528,3701
"Bryan","GA","13029",15173,4014,10529
"Bulloch","GA","13031",25316,9261,15097
"Burke","GA","13033",9351,4731,4491
"Butts","GA","13035",9514,2566,6717
"Calhoun","GA","13037",2025,1179,830
"Camden","GA","13039",18901,5930,12310
"Candler","GA","13043",3763,1026,2664
"Carroll","GA","13045",44121,12464,30029
"Catoosa","GA","13047",26757,4771,20876
"Charlton","GA","13049",4016,1004,2951
"Chatham","GA","13051",113051,62290,45688
"Chattahoochee","GA","13053",1390,594,751
"Chattooga","GA","13055",8252,1613,6462
"Cherokee","GA","13057",112784,25231,80649
"Clarke","GA","13059",44976,29603,12717
"Clay","GA","13061",1273,697,566
"Clayton","GA","13063",93580,78220,12645
"Clinch","GA","13065",2455,686,1727
"Cobb","GA","13067",334058,160121,152912
"Coffee","GA","13069",13915,4094,9588
"Colquitt","GA","13071",13624,3463,9898
"Columbia","GA","13073",65207,18887,43085
"Cook","GA","13075",6057,1753,4176
"Coweta","GA","13077",61745,16583,42533
"Crawford","GA","13079",5176,1421,3635
"Crisp","GA","13081",7512,2837,4549
"Dade","GA","13083",6242,965,5051
"Dawson","GA","13085",11820,1448,9900
"Decatur","GA","13087",10286,4124,6020
"DeKalb","GA","13089",317849,251370,51468
"Dodge","GA","13091",7009,1839,5021
"Dooly","GA","13093",3859,1872,1951
"Dougherty","GA","13095",34087,23311,10232
"Douglas","GA","13097",57738,31005,24817
"Early","GA","13099",4785,2168,2552
"Echols","GA","13101",1182,156,1007
"Effingham","GA","13103",23458,4853,17874
"Elbert","GA","13105",7987,2539,5292
"Emanuel","GA","13107",7860,2435,5335
"Evans","GA","13109",3613,1130,2404
"Fannin","GA","13111",11812,1923,9632
"Fayette","GA","13113",61511,23284,35048
"Floyd","GA","13115",34608,9159,24114
"Forsyth","GA","13117",98221,23462,69851
"Franklin","GA","13119",8502,1243,7054
"Fulton","GA","13121",438751,297051,117783
"Gilmer","GA","13123",12773,1965,10477
"Glascock","GA","13125",1390,138,1235
"Glynn","GA","13127",34437,11775,21512
"Gordon","GA","13129",18959,3181,15191
"Grady","GA","13131",9213,3013,6053
"Greene","GA","13133",8852,3199,5490
"Gwinnett","GA","13135",330950,166153,146989
"Habersham","GA","13137",16243,2483,13190
"Hall","GA","13139",71142,16180,51733
"Hancock","GA","13141",3580,2701,843
"Haralson","GA","13143",11357,1475,9585
"Harris","GA","13145",16502,4086,11936
"Hart","GA","13147",10117,2585,7286
"Heard","GA","13149",4223,743,3370
"Henry","GA","13151",99367,50057,45724
"Houston","GA","13153",60079,22553,35430
"Irwin","GA","13155",3670,891,2716
"Jackson","GA","13157",27190,4491,21784
"Jasper","GA","13159",6045,1544,4360
"Jeff Davis","GA","13161",5096,901,4104
"Jefferson","GA","13163",6968,3821,3063
"Jenkins","GA","13165",3056,1123,1895
"Johnson","GA","13167",3686,1136,2519
"Jones","GA","13169",12551,3961,8305
"Lamar","GA","13171",7612,2270,5190
"Lanier","GA","13173",2871,806,1984
"Laurens","GA","13175",19530,6752,12411
"Lee","GA","13177",14143,3170,10646
"Liberty","GA","13179",16143,9556,6134
"Lincoln","GA","13181",4102,1273,2759
"Long","GA","13183",4117,1360,2626
"Lowndes","GA","13185",37805,15064,21635
"Lumpkin","GA","13187",12425,2220,9619
"McDuffie","GA","13189",9268,3699,5432
"McIntosh","GA","13191",5903,2303,3487
"Macon","GA","13193",4287,2705,1540
"Madison","GA","13195",11998,2425,9201
"Marion","GA","13197",3190,1213,1921
"Meriwether","GA","13199",9217,3804,5222
"Miller","GA","13201",2544,623,1891
"Mitchell","GA","13205",7880,3493,4279
"Monroe","GA","13207",12687,3571,8832
"Montgomery","GA","13209",3576,847,2670
"Morgan","GA","13211",9475,2663,6559
"Murray","GA","13213",12458,1800,10341
"Muscogee","GA","13215",69032,39851,26976
"Newton","GA","13217",43987,21943,20913
"Oconee","GA","13219",20149,5581,13425
"Oglethorpe","GA","13221",6674,1831,4625
"Paulding","GA","13223",64890,18025,44662
"Peach","GA","13225",10752,5100,5413
"Pickens","GA","13227",14058,1979,11651
"Pierce","GA","13229",7311,903,6302
"Pike","GA","13231",8725,1240,7278
"Polk","GA","13233",14215,2867,11014
"Pulaski","GA","13235",3605,1104,2437
"Putnam","GA","13237",9488,2758,6544
"Quitman","GA","13239",1044,461,575
"Rabun","GA","13241",7992,1444,6287
"Randolph","GA","13243",2899,1598,1271
"Richmond","GA","13245",75515,48814,24461
"Rockdale","GA","13247",37869,23255,13478
"Schley","GA","13249",1909,401,1472
"Screven","GA","13251",5715,2300,3305
"Seminole","GA","13253",3588,1189,2345
"Spalding","GA","13255",25704,9357,15646
"Stephens","GA","13257",9815,1837,7686
"Stewart","GA","13259",2058,1222,805
"Sumter","GA","13261",10974,5520,5276
"Talbot","GA","13263",3246,2002,1196
"Taliaferro","GA","13265",897,545,349
"Tattnall","GA","13267",6903,1681,5096
"Taylor","GA","13269",3408,1296,2064
"Telfair","GA","13271",3796,1313,2450
"Terrell","GA","13273",4189,2267,1874
"Thomas","GA","13275",18802,7142,11228
"Tift","GA","13277",14219,4347,9584
"Toombs","GA","13279",9138,2338,6615
"Towns","GA","13281",6764,1210,5383
"Treutlen","GA","13283",2703,862,1809
"Troup","GA","13285",26111,9713,15750
"Turner","GA","13287",3398,1246,2095
"Twiggs","GA","13289",4059,1971,2035
"Union","GA","13291",12063,1963,9852
"Upson","GA","13293",10934,3475,7292
"Walker","GA","13295",23956,4215,18950
"Walton","GA","13297",40698,8292,31125
"Ware","GA","13299",12184,3440,8513
"Warren","GA","13301",2334,1314,991
"Washington","GA","13303",8461,4200,4149
"Wayne","GA","13305",10413,2041,8153
"Webster","GA","13307",1116,473,630
"Wheeler","GA","13309",2102,646,1421
"White","GA","13311",11823,1674,9761
"Whitfield","GA","13313",30658,7937,21537
"Wilcox","GA","13315",2976,852,2096
"Wilkes","GA","13317",4486,1848,2572
"Wilkinson","GA","13319",4287,1894,2333
"Worth","GA","13321",8295,2020,6152
"Adair","KY","21001",8233,1323,6637
"Allen","KY","21003",8096,1349,6466
"Anderson","KY","21005",11422,2634,8242
"Ballard","KY","21007",4101,816,3161
"Barren","KY","21009",18488,4275,13483
"Bath","KY","21011",4587,1361,3082
"Bell","KY","21013",9718,1720,7764
"Boone","KY","21015",57618,15026,39082
"Bourbon","KY","21017",8803,2791,5569
"Boyd","KY","21019",20454,6021,13591
"Boyle","KY","21021",12946,4281,8040
"Bracken","KY","21023",3527,705,2711
"Breathitt","KY","21025",5738,1537,3991
"Breckinridge","KY","21027",8774,1960,6484
"Bullitt","KY","21029",36069,8255,26210
"Butler","KY","21031",5576,947,4428
"Caldwell","KY","21033",5975,1260,4507
"Calloway","KY","21035",16049,4749,10367
"Campbell","KY","21037",42510,14658,25050
"Carlisle","KY","21039",2601,432,2094
"Carroll","KY","21041",3855,1106,2588
"Carter","KY","21043",10278,2276,7587
"Casey","KY","21045",6439,767,5482
"Christian","KY","21047",22083,7188,14108
"Clark","KY","21049",16205,4706,10710
"Clay","KY","21051",6767,752,5861
